																					Class	blk	Blk	Blk	QC	QC	QC	QC	QC
																					Type	Blank	Blank	Blank	QC	QC	QC	QC	QC
																					Injection order	1	2	3	4	5	6	7	8
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct ion name	Post curation result	Fill %	MS/MS included	Formula	Ontology	INCHIKEY	SMILES	Comment	Isotope tracking parent ID	Isotope tracking weight number	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	20180316-GM-Sam-Blk_180316174725	20180316-GM-Sam-Blk_180316212351	20180316-GM-Sam-Blk_180317004329	20180316-GM-Sam-QC1	20180316-GM-Sam-QC1_180316200038	20180316-GM-Sam-QC1_180316214029	20180316-GM-Sam-QC1_180316232018	20180316-GM-Sam-QC1_180317010007
0	4.79	109.0298	Unknown	[M-H]-	found in higher mz's MsMs_291; found in higher mz's MsMs_191; similar chromatogram in higher mz_656; similar chromatogram in higher mz_336; similar chromatogram in higher mz_382; similar chromatogram in higher mz_550	0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	24.59443	20180316-GM-Sam-QC1	109.02982:99328 110.03317:0 111.03653:0		0	0	0	0.0001087058	6.831838E-05	7.503689E-05	7.463063E-05	8.124792E-05
1	0.98	112.9858	Unknown	[M-H]-		0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	3.611597	20180316-GM-Sam-QC1	112.98579:585095 113.98914:0 114.9925:9243		0.01113522	0.0101355	0.008386884	0.0006403375	0.0005979849	0.0005781507	0.0005574988	0.0004967845
2	13.37	112.9859	Unknown	[M-H]-	adduct linked to 76_[M+Na+FA-2H]-; found in higher mz's MsMs_76	0.5	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	7.117698	20180316-GM-Sam-QC1_180316214029	112.98587:1073154 113.98922:14679 114.99258:8003		0.02992774	0.03114247	0.0322098	0.00114955	0.001063921	0.001160484	0.001107382	0.00106049
3	0.63	112.9859	Unknown	[M-H]-	found in higher mz's MsMs_184	1	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	10.77861	20180316-GM-Sam-QC1	112.98588:1301256 113.98923:42891 114.99259:0		0.02082811	0.02072652	0.02293303	0.001424115	0.001190251	0.001297883	0.001282226	0.001318534
4	13.52	112.9859	Unknown	[M-H]-		0.75	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	7.543934	20180316-GM-Sam-Blk_180316212351	112.9859:1192136 113.98925:24329 114.99261:0		0.03335148	0.03591987	0.03236478	0.00114955	0.001221635	0.001203859	0.001155033	0.00113444
5	4.8	112.9861	Unknown	[M-H]-		0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	8.490141	20180316-GM-Sam-QC1	112.98608:1212161 113.98943:0 114.99279:0		0.03419872	0.03178185	0.03074439	0.001326608	0.001274796	0.00124089	0.001229129	0.001218434
6	0.65	114.0198	Unknown	[M-H]-		0.625	False	No record	No record	No record	No record	Normalized unit Height	-1	-1	-1	-1	-1	13.12123	20180316-GM-Sam-QC1_180316200038	114.01978:105872 115.02313:35724 116.02649:0		0.00156553	0.001492176	0.001545061	9.764064E-05	0.0001155628	9.966734E-05	9.596445E-05	0.0001050513
